Sequence,Ciphertext_Entropy,IV_Length,IV_Entropy,Exec_Time,Secure
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.2,0,0.0,0.35,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.94,12,7.952,2.226,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.915,16,7.977,2.456,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.866,16,7.84,2.356,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.661,16,4.462,1.093,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.943,16,7.868,0.952,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.542,16,4.155,0.732,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.039,0,0.0,1.421,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.988,12,7.968,0.527,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.075,16,2.83,0.52,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.719,0,0.0,0.551,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.717,16,7.819,0.593,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.909,12,7.882,2.363,1
Cipher.getInstance -> Cipher.doFinal,6.515,16,5.455,0.225,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.419,0,0.0,1.14,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.841,16,7.535,1.663,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.869,12,7.813,0.706,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.937,16,7.95,0.567,1
Cipher.getInstance -> Cipher.doFinal,5.994,0,1.276,0.413,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.941,16,7.802,2.304,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.724,16,2.425,1.628,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.518,16,7.604,1.202,0
Cipher.getInstance -> Cipher.doFinal,7.359,16,1.181,0.228,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.403,16,2.959,1.127,0
Cipher.getInstance -> Cipher.doFinal,7.289,0,7.501,0.152,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.894,16,7.591,1.182,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.992,16,7.924,2.181,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.286,16,4.228,1.023,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.978,16,7.978,2.261,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.655,16,4.157,1.056,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.87,16,7.812,1.969,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.862,16,7.933,0.865,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.877,12,7.916,1.245,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.896,12,7.801,2.191,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.951,16,7.942,2.241,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.79,16,7.971,0.543,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.88,12,7.897,0.69,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.866,12,7.917,2.106,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.593,16,7.714,1.772,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.866,12,7.823,1.731,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.534,0,0.0,1.44,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.857,16,7.868,1.869,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.908,12,7.973,0.661,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.883,16,7.806,1.669,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.707,16,7.558,1.077,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.581,16,7.963,1.345,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.084,0,0.0,0.576,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.989,12,7.838,0.568,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.861,16,7.832,1.099,1
Cipher.getInstance -> Cipher.doFinal,5.223,0,3.092,0.112,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.432,16,3.958,1.326,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.851,16,7.812,0.634,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.986,16,7.816,1.098,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.942,0,0.0,0.937,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.85,16,7.911,1.799,1
Cipher.getInstance -> Cipher.doFinal,5.153,16,4.674,0.361,0
Cipher.getInstance -> Cipher.doFinal,7.096,0,5.654,0.155,0
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.891,12,7.896,2.092,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.322,16,1.96,1.951,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.11,0,0.0,1.425,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.26,16,1.215,1.678,0
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.873,12,7.989,2.027,1
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.71,16,7.854,1.429,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.904,16,7.948,2.45,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.222,0,0.0,0.346,0
SecureRandom.setSeed -> Cipher.getInstance -> Cipher.init,7.597,16,7.942,1.745,0
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.675,16,3.088,1.658,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.78,0,0.0,0.432,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.889,16,7.906,0.972,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.946,12,7.902,1.034,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.97,16,7.878,1.201,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.994,12,7.803,2.488,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.863,12,7.913,1.198,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,6.716,0,0.0,1.448,0
Cipher.getInstance -> Cipher.doFinal,6.79,16,4.694,0.361,0
Cipher.getInstance -> Cipher.doFinal,6.098,16,4.336,0.332,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.89,16,7.844,1.833,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.91,12,7.93,0.589,1
Cipher.getInstance -> Cipher.doFinal,5.757,0,6.386,0.321,0
Cipher.getInstance -> Cipher.doFinal,7.112,0,2.519,0.274,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.965,16,7.92,1.545,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.852,16,7.834,1.528,1
SecureRandom.nextBytes -> Cipher.getInstance -> Cipher.init,7.873,16,7.997,1.42,1
Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.429,16,2.818,1.249,0
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.946,12,7.938,0.994,1
MessageDigest.getInstance -> MessageDigest.update -> MessageDigest.digest,7.871,16,7.863,2.479,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.911,12,7.925,0.887,1
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.429,0,0.0,0.684,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.98,16,7.939,0.903,1
Cipher.getInstance -> Cipher.doFinal,5.232,0,1.369,0.474,0
KeyGen.init -> Cipher.getInstance -> Cipher.init -> Cipher.doFinal,7.955,16,7.909,0.874,1
KeyGen.init -> Mac.getInstance -> Mac.init -> Mac.doFinal,7.855,16,7.865,0.92,1
