algorithm,type,secure
AES/GCM/NoPadding,CIPHER,1
AES/ECB/PKCS5Padding,CIPHER,0
DES,CIPHER,0
MD5,HASH,0
SHA-1,HASH,0
SHA-256,HASH,1
CONSTANT_IV,IV_ENTROPY,0
MD4,HASH,0
ChaCha20/GCM/NoPadding,CIPHER,1
SHA3-512,HASH,1
HARDCODED_SEED,SECURE_RANDOM,0
Twofish/CTR/PKCS5Padding,CIPHER,1
ChaCha20/CTR/PKCS5Padding,CIPHER,1
Camellia,CIPHER,1
SHA-512,HASH,1
Camellia/ECB/OAEPWithSHA-256AndMGF1Padding,CIPHER,0
SHA-1,HASH,0
HARDCODED_SEED,IV_ENTROPY,0
Twofish/GCM/OAEPWithSHA-256AndMGF1Padding,CIPHER,1
SHA-1,HASH,0
HAVAL,HASH,0
Serpent/CFB/PKCS1Padding,CIPHER,0
RC2/CBC/ZeroBytePadding,CIPHER,0
MD5,HASH,0
RANDOM_IV,SECURE_RANDOM,1
DESede/OFB/ZeroBytePadding,CIPHER,0
RC4/CBC/ZeroBytePadding,CIPHER,0
HAVAL,HASH,0
Camellia/CTR/PKCS5Padding,CIPHER,1
Serpent/GCM/NoPadding,CIPHER,1
MD4,HASH,0
SHA-512,HASH,1
Twofish/CCM/PKCS5Padding,CIPHER,1
AES/GCM/NoPadding,CIPHER,1
ChaCha20/CBC/ZeroBytePadding,CIPHER,0
MD5,HASH,0
SHA-256,HASH,1
DES/ECB/PKCS1Padding,CIPHER,0
RC2/GCM/OAEPWithSHA-256AndMGF1Padding,CIPHER,0
Camellia,CIPHER,1
PREDICTABLE_NONCE,IV_ENTROPY,0
RANDOM_IV,SECURE_RANDOM,1
MD2,HASH,0
AES,CIPHER,1
CONSTANT_IV,SECURE_RANDOM,0
MD4,HASH,0
MD2,HASH,0
Camellia/GCM/OAEPWithSHA-256AndMGF1Padding,CIPHER,1
PREDICTABLE_NONCE,SECURE_RANDOM,0
RC4/CCM/PKCS1Padding,CIPHER,0
AES/ECB/NoPadding,CIPHER,0
CONSTANT_IV,SECURE_RANDOM,0
SHA3-256,HASH,1
PREDICTABLE_NONCE,SECURE_RANDOM,0
SYSTEM_ENTROPY,SECURE_RANDOM,1
Twofish/CBC/PKCS5Padding,CIPHER,1
SHA-1,HASH,0
SYSTEM_ENTROPY,SECURE_RANDOM,1
ChaCha20/CTR/NoPadding,CIPHER,1
ChaCha20/CCM/ZeroBytePadding,CIPHER,0
RANDOM_IV,SECURE_RANDOM,1
SYSTEM_ENTROPY,IV_ENTROPY,1
AES,CIPHER,1
MD4,HASH,0
Argon2id,HASH,1
CAST5/CTR/ZeroBytePadding,CIPHER,0
AES,CIPHER,1
Twofish/CBC/OAEPWithSHA-256AndMGF1Padding,CIPHER,1
PREDICTABLE_NONCE,IV_ENTROPY,0
Camellia/CBC/PKCS1Padding,CIPHER,0
SHA-1,HASH,0
SHA-1,HASH,0
Twofish/CBC/PKCS5Padding,CIPHER,1
Camellia/CCM/NoPadding,CIPHER,1
SYSTEM_ENTROPY,SECURE_RANDOM,1
Serpent/CBC/PKCS5Padding,CIPHER,1
ChaCha20/GCM/NoPadding,CIPHER,1
Twofish,CIPHER,1
MD5,HASH,0
Camellia/OFB/OAEPWithSHA-256AndMGF1Padding,CIPHER,0
Camellia/CBC/PKCS5Padding,CIPHER,1
RANDOM_IV,SECURE_RANDOM,1
MD2,HASH,0
Serpent/GCM/OAEPWithSHA-256AndMGF1Padding,CIPHER,1
SHA-1,HASH,0
Blowfish/CBC/ZeroBytePadding,CIPHER,0
Tiger,HASH,0
SYSTEM_ENTROPY,SECURE_RANDOM,1
CAST5/CFB/ZeroBytePadding,CIPHER,0
Argon2id,HASH,1
HAVAL,HASH,0
